level,deck,word,reading,meaning,ratings_today,final_rating_today,answer_seconds_today,reps,lapses,current_interval_days
N5,日本語::JLPT 한끝 Voca::1-N5,あらう,あらう,씻다,[2],2,17.3,14,3,2
N3,日本語::JLPT 한끝 Voca::3-N3,疑う,うたがう,의심하다,[2],2,5.2,10,2,2
N4,日本語::JLPT 한끝 Voca::2-N4,かざる,かざる,장식하다,[2],2,3.1,39,2,2
N2,日本語::JLPT 한끝 Voca::4-N2,あいにく,あいにく,공교롭게도,[2],2,4.5,10,1,4
N2,日本語::JLPT 한끝 Voca::4-N2,予め,あらかじめ,"미리, 사전에",[2],2,6.6,9,1,3
N2,日本語::JLPT 한끝 Voca::4-N2,争う,あらそう,"다투다, 경쟁하다",[2],2,4.3,10,1,3
N2,日本語::JLPT 한끝 Voca::4-N2,怪しい,あやしい,수상하다,[2],2,11.7,28,1,4
N2,日本語::JLPT 한끝 Voca::4-N2,荒い,あらい,거칠다,[2],2,4.8,28,1,4
N2,日本語::JLPT 한끝 Voca::4-N2,辺り,あたり,"주변, 주위",[2],2,3.2,7,1,3
N3,日本語::JLPT 한끝 Voca::3-N3,以降,いこう,이후,[2],2,2.2,10,1,3
N3,日本語::JLPT 한끝 Voca::3-N3,編む,あむ,"엮다, 뜨다",[2],2,23.8,20,1,4
N2,日本語::JLPT 한끝 Voca::4-N2,〜一色,〜いっしょく,~일색,[2],2,3.7,4,0,2
N2,日本語::JLPT 한끝 Voca::4-N2,一日おきに,いちにちおきに,하루걸러,[2],2,8.1,5,0,2
N2,日本語::JLPT 한끝 Voca::4-N2,圧勝,あっしょう,압승,[2],2,10.2,8,0,8
N2,日本語::JLPT 한끝 Voca::4-N2,抱く,いだく,품다,[2],2,7.6,11,0,2
N2,日本語::JLPT 한끝 Voca::4-N2,溢れる,あふれる,넘치다,[2],2,4.8,3,0,7
N2,日本語::JLPT 한끝 Voca::4-N2,著しい,いちじるしい,현저하다,[2],2,19.1,8,0,2
N2,日本語::JLPT 한끝 Voca::4-N2,足元,あしもと,발밑,[2],2,6.3,3,0,7
N3,日本語::JLPT 한끝 Voca::3-N3,うわさ,うわさ,소문,[2],2,2.8,6,0,6
N3,日本語::JLPT 한끝 Voca::3-N3,おしい,おしい,아깝다,[2],2,2.3,11,0,5
N3,日本語::JLPT 한끝 Voca::3-N3,お祝い,おいわい,"축하, 축하선물",[2],2,13.5,6,0,5
