#separator:Tab
#html:true
#deck:JLPT N2::문법 001-025 예문 복습
#tags column:3
#columns:Front	Back	Tags
"<div style=""color:#6b7280;font-size:14px"">001</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜あげく</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~한 끝에</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">Vた形＋あげく／Nの＋あげく</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">오랜 과정 끝에 대체로 좋지 않거나 기대와 다른 결과에 이름.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">何度も話し合ったあげく、計画は中止になった。<br><span style='color:#6b7280'>여러 번 의논한 끝에 계획은 중지되었다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">長い間迷ったあげく、その会社への応募をやめた。<br><span style='color:#6b7280'>오랫동안 고민한 끝에 그 회사 지원을 그만두었다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">〜末に도 긴 과정 뒤의 결과지만 좋은 결과에도 널리 쓴다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">긴 과정 → 마지막 결과의 순서를 확인한다.</div>"	JLPT_N2 문법_001_025 문법_001 priority_normal
"<div style=""color:#6b7280;font-size:14px"">002</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜あまり</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~한 나머지</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V普通形＋あまり／Nの＋あまり／ナAな＋あまり</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">감정이나 정도가 지나쳐 예상 밖의 결과가 생김.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">緊張のあまり、自分の名前さえ言えなかった。<br><span style='color:#6b7280'>너무 긴장한 나머지 자기 이름조차 말하지 못했다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">子どものことを心配するあまり、一晩中眠れなかった。<br><span style='color:#6b7280'>아이를 지나치게 걱정한 나머지 밤새 잠들지 못했다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">단순한 이유가 아니라 정도가 지나쳤다는 느낌이 있다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">앞부분이 강한 감정·과도한 정도인지 본다.</div>"	JLPT_N2 문법_001_025 문법_002 priority_normal
"<div style=""color:#6b7280;font-size:14px"">003</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜一方だ</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">계속 ~하기만 하다</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V辞書形＋一方だ</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">변화가 한 방향으로 계속 진행됨.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">この町の人口は減る一方だ。<br><span style='color:#6b7280'>이 마을의 인구는 계속 줄어들기만 한다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">対策をしなければ、状況は悪くなる一方だ。<br><span style='color:#6b7280'>대책을 세우지 않으면 상황은 계속 나빠질 뿐이다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">〜ばかりだ와 비슷하지만 변화의 지속 방향을 특히 강조한다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">増える・減る・悪くなる 같은 변화 동사를 찾는다.</div>"	JLPT_N2 문법_001_025 문법_003 priority_normal
"<div style=""color:#6b7280;font-size:14px"">004</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜うえで</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~한 뒤에</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">Vた形＋うえで／Nの＋うえで</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">A를 충분히 한 뒤 그것을 바탕으로 B함.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">契約内容を確認したうえで、署名してください。<br><span style='color:#6b7280'>계약 내용을 확인한 뒤 서명해 주세요.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">家族と相談したうえで、返事をします。<br><span style='color:#6b7280'>가족과 상의한 뒤 답변하겠습니다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">단순한 시간 순서보다 사전 확인·준비를 거친다는 느낌이 강하다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">A가 B를 위한 준비·판단 근거인지 확인한다.</div>"	JLPT_N2 문법_001_025 문법_004 priority_normal
"<div style=""color:#6b7280;font-size:14px"">005</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜うえに</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~인 데다가</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V普通形／イA普通形／ナAな／Nである＋うえに</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">A라는 성질이나 사정에 B까지 더해짐.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">この店は安いうえに、駅からも近い。<br><span style='color:#6b7280'>이 가게는 저렴한 데다가 역에서도 가깝다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">彼は親切なうえに、説明も分かりやすい。<br><span style='color:#6b7280'>그는 친절한 데다가 설명도 이해하기 쉽다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">조건이나 시간 순서가 아니라 같은 방향의 정보 추가이다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">‘A이고, 게다가 B’로 자연스러운지 본다.</div>"	JLPT_N2 문법_001_025 문법_005 priority_normal
"<div style=""color:#6b7280;font-size:14px"">006</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜うえは</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~한 이상</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V普通形＋うえは</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">이미 A한 이상 책임·각오를 가지고 B함.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">自分で引き受けたうえは、最後までやり通す。<br><span style='color:#6b7280'>스스로 맡은 이상 끝까지 해낸다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">約束したうえは、必ず守らなければならない。<br><span style='color:#6b7280'>약속한 이상 반드시 지켜야 한다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">〜からには와 거의 같으며 뒤에 의지·의무·책임이 온다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">뒤 문장에 つもりだ・べきだ・なければならない가 있는지 본다.</div>"	JLPT_N2 문법_001_025 문법_006 priority_normal
"<div style=""color:#6b7280;font-size:14px"">007</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜うちに／〜ないうちに</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~하는 동안 · ~하기 전에</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V辞書形・Vている・Vない／イA／ナAな／Nの＋うちに</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">상태가 유지되는 동안 또는 상태가 바뀌기 전에 행동함.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">忘れないうちに、重要な点をメモしておこう。<br><span style='color:#6b7280'>잊기 전에 중요한 점을 메모해 두자.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">日本にいるうちに、いろいろな地方を旅行したい。<br><span style='color:#6b7280'>일본에 있는 동안 여러 지방을 여행하고 싶다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">〜間은 기간 전체의 지속을, 〜うちに는 그 기간 중 기회·변화를 자주 나타낸다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">‘상태가 바뀌기 전’이라는 시간 제한을 찾는다.</div>"	JLPT_N2 문법_001_025 문법_007 priority_normal
"<div style=""color:#6b7280;font-size:14px"">008</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜おきに</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~간격으로</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">数量＋おきに</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">일정한 시간·거리·수량의 간격마다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">このバスは二十分おきに出発する。<br><span style='color:#6b7280'>이 버스는 20분 간격으로 출발한다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">道路に五メートルおきに木が植えてある。<br><span style='color:#6b7280'>도로에 5미터 간격으로 나무가 심겨 있다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">시간 표현에서는 해당 간격이 지날 때마다 반복된다고 이해한다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">숫자와 반복되는 사건을 함께 찾는다.</div>"	JLPT_N2 문법_001_025 문법_008 priority_normal
"<div style=""color:#6b7280;font-size:14px"">009</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜か〜ないかのうちに</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~하자마자</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">V辞書形＋か＋Vない形＋かのうちに</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">A가 끝났는지도 모를 정도로 거의 동시에 B가 일어남.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">ベルが鳴るか鳴らないかのうちに、学生が教室を出た。<br><span style='color:#6b7280'>종이 울렸는지 아닌지 할 사이에 학생들이 교실을 나갔다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">席に座るか座らないかのうちに、電車が動き出した。<br><span style='color:#6b7280'>자리에 앉자마자 전철이 움직이기 시작했다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">〜たとたん과 비슷하지만 A와 B가 거의 겹치는 속도를 강조한다.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">같은 동사의 긍정형과 부정형이 반복되는지 본다.</div>"	JLPT_N2 문법_001_025 문법_009 priority_high
"<div style=""color:#6b7280;font-size:14px"">010</div><div style=""font-size:30px;font-weight:700;margin:8px 0 14px"">〜かいがある</div><div style=""color:#6b7280"">접속 · 핵심 의미 · 예문을 떠올려 보세요.</div>"	"<div style=""font-size:20px;font-weight:700;margin:0 0 14px;color:#52606d"">~한 보람이 있다</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">접속</div><div style=""line-height:1.55;margin-top:4px"">Vた形＋かいがある／Nの＋かいがある</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">핵심 의미</div><div style=""line-height:1.55;margin-top:4px"">노력이나 수고에 보람·효과가 있음.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 1</div><div style=""line-height:1.55;margin-top:4px"">毎日練習したかいがあって、試合に勝つことができた。<br><span style='color:#6b7280'>매일 연습한 보람이 있어 시합에서 이길 수 있었다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">예문 2</div><div style=""line-height:1.55;margin-top:4px"">遠くまで来たかいがある美しい景色だ。<br><span style='color:#6b7280'>멀리까지 온 보람이 있는 아름다운 경치다.</span></div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">구별 포인트</div><div style=""line-height:1.55;margin-top:4px"">결과가 없으면 〜かいがない, 보람 있었다면 〜かいがあった.</div><div style=""color:#52606d;font-size:13px;font-weight:700;margin-top:14px"">시험 신호</div><div style=""line-height:1.55;margin-top:4px"">노력 → 좋은 성과의 인과관계를 확인한다.</div>"	JLPT_N2 문법_001_025 문법_010 priority_high
