#separator:Tab
#html:true
#deck:JLPT N2::자동사·타동사 50쌍 (핵심 구분 & 조사 완성)
#tags column:3
#columns:Front	Back	Tags
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#059669; background:#ecfdf5; border:1px solid #a7f3d0; border-radius:12px; padding:3px 10px; margin-bottom:12px;">자동사 ➔ 타동사 맞히기 #001</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">値段が上がる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#059669;">上がる</b>」의 뜻과 대응하는 <b style="color:#2563eb;">타동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#059669;">上がる（あがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 오르다 / 올라가다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 物価が上がると、日々の生活が苦しくなる。</div><div style="font-size:13px; color:#6b7280;">물가가 오르면 일상생활이 힘들어진다.</div></div><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#2563eb; letter-spacing:0.5px;">대응 타동사</div><div style="font-size:22px; font-weight:700; color:#2563eb;">上げる（あげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 올리다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 店長は来月から商品の値段を上げる予定だ。</div><div style="font-size:13px; color:#6b7280;">점장은 다음 달부터 상품 가격을 올릴 예정이다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#059669;">が 上がる</span> ↔ <span style="color:#2563eb;">を 上げる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_001 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#2563eb; background:#eff6ff; border:1px solid #bfdbfe; border-radius:12px; padding:3px 10px; margin-bottom:12px;">타동사 ➔ 자동사 맞히기 #001</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">値段を上げる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#2563eb;">上げる</b>」의 뜻과 대응하는 <b style="color:#059669;">자동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#2563eb;">上げる（あげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 올리다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 店長は来月から商品の値段を上げる予定だ。</div><div style="font-size:13px; color:#6b7280;">점장은 다음 달부터 상품 가격을 올릴 예정이다.</div></div><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#059669; letter-spacing:0.5px;">대응 자동사</div><div style="font-size:22px; font-weight:700; color:#059669;">上がる（あがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 오르다 / 올라가다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 物価が上がると、日々の生活が苦しくなる。</div><div style="font-size:13px; color:#6b7280;">물가가 오르면 일상생활이 힘들어진다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#2563eb;">を 上げる</span> ↔ <span style="color:#059669;">が 上がる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_001 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:14px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#b45309; background:#fffbeb; border:1px solid #fde68a; border-radius:12px; padding:3px 10px; margin-bottom:14px;">조사 선택 퀴즈 (が / を) #001</span><div style="font-size:22px; font-weight:700; margin-bottom:16px; color:#111827; line-height:1.4;">最近、ガソリンの価格<span style="border-bottom:2px solid #2563eb; padding:0 8px; color:#2563eb; font-weight:700;">＿</span>急激に上がっている。</div><div style="display:inline-flex; gap:16px; font-size:16px; font-weight:700; margin-bottom:12px;"><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">① が</span><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">② を</span></div><div style="font-size:13px; color:#64748b;">빈칸에 들어갈 알맞은 조사를 선택하세요.</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="font-size:20px; font-weight:700; color:#059669; margin-bottom:12px; text-align:center;">정답: ① が</div><div style="background:#ecfdf5; border:1px solid #a7f3d0; border-radius:8px; padding:12px; margin-bottom:14px;"><div style="font-size:18px; font-weight:700; color:#111827; margin-bottom:4px;">最近、ガソリンの価格<span style="color:#059669; font-weight:700; text-decoration:underline;">が</span>急激に上がっている。</div><div style="font-size:14px; color:#4b5563;">요즘 휘발유 가격이 급격히 오르고 있다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-size:14px; color:#1e293b; margin-bottom:8px;"><b>해설:</b> 「上がる」는 가격의 자연스러운 상승이나 추이를 나타내는 자동사이므로 주체에 が를 씁니다.</div><div style="font-size:13px; color:#475569; border-top:1px dashed #cbd5e1; padding-top:8px; margin-top:8px;"><b>반대 표현:</b><br>店長が商品の価格を上げた。（점장이 상품 가격을 올렸다）</div><div style="font-size:12px; color:#64748b; margin-top:8px;">📌 공식: [자연 추이·상태 변화] <b>が</b> + 자동사 ↔ [인위적 목적어] <b>を</b> + 타동사</div></div></div>"	JLPT_N2::자타동사50쌍 조사_선택 쌍_001 정답_が
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#059669; background:#ecfdf5; border:1px solid #a7f3d0; border-radius:12px; padding:3px 10px; margin-bottom:12px;">자동사 ➔ 타동사 맞히기 #002</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">熱が下がる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#059669;">下がる</b>」의 뜻과 대응하는 <b style="color:#2563eb;">타동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#059669;">下がる（さがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 내려가다 / 떨어지다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 薬を飲んでしばらく休んだら、熱が下がった。</div><div style="font-size:13px; color:#6b7280;">약을 먹고 잠시 쉬었더니 열이 내렸다.</div></div><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#2563eb; letter-spacing:0.5px;">대응 타동사</div><div style="font-size:22px; font-weight:700; color:#2563eb;">下げる（さげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 내리다 / 낮추다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> エアコンの設定温度を少し下げてください。</div><div style="font-size:13px; color:#6b7280;">에어컨 설정 온도를 조금 내려 주세요.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#059669;">が 下がる</span> ↔ <span style="color:#2563eb;">を 下げる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_002 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#2563eb; background:#eff6ff; border:1px solid #bfdbfe; border-radius:12px; padding:3px 10px; margin-bottom:12px;">타동사 ➔ 자동사 맞히기 #002</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">熱を下げる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#2563eb;">下げる</b>」의 뜻과 대응하는 <b style="color:#059669;">자동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#2563eb;">下げる（さげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 내리다 / 낮추다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> エアコンの設定温度を少し下げてください。</div><div style="font-size:13px; color:#6b7280;">에어컨 설정 온도를 조금 내려 주세요.</div></div><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#059669; letter-spacing:0.5px;">대응 자동사</div><div style="font-size:22px; font-weight:700; color:#059669;">下がる（さがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 내려가다 / 떨어지다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 薬を飲んでしばらく休んだら、熱が下がった。</div><div style="font-size:13px; color:#6b7280;">약을 먹고 잠시 쉬었더니 열이 내렸다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#2563eb;">を 下げる</span> ↔ <span style="color:#059669;">が 下がる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_002 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:14px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#b45309; background:#fffbeb; border:1px solid #fde68a; border-radius:12px; padding:3px 10px; margin-bottom:14px;">조사 선택 퀴즈 (が / を) #002</span><div style="font-size:22px; font-weight:700; margin-bottom:16px; color:#111827; line-height:1.4;">エアコンの設定温度<span style="border-bottom:2px solid #2563eb; padding:0 8px; color:#2563eb; font-weight:700;">＿</span>少し下げてください。</div><div style="display:inline-flex; gap:16px; font-size:16px; font-weight:700; margin-bottom:12px;"><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">① が</span><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">② を</span></div><div style="font-size:13px; color:#64748b;">빈칸에 들어갈 알맞은 조사를 선택하세요.</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="font-size:20px; font-weight:700; color:#2563eb; margin-bottom:12px; text-align:center;">정답: ② を</div><div style="background:#eff6ff; border:1px solid #bfdbfe; border-radius:8px; padding:12px; margin-bottom:14px;"><div style="font-size:18px; font-weight:700; color:#111827; margin-bottom:4px;">エアコンの設定温度<span style="color:#2563eb; font-weight:700; text-decoration:underline;">を</span>少し下げてください。</div><div style="font-size:14px; color:#4b5563;">에어컨 설정 온도를 조금 내려 주세요.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-size:14px; color:#1e293b; margin-bottom:8px;"><b>해설:</b> 「下げる」는 사람이 의도를 가지고 조작하여 낮추는 타동사이므로 목적어에 を를 씁니다.</div><div style="font-size:13px; color:#475569; border-top:1px dashed #cbd5e1; padding-top:8px; margin-top:8px;"><b>반대 표현:</b><br>時間が経って室温が下がった。（시간이 지나 실온이 내려갔다）</div><div style="font-size:12px; color:#64748b; margin-top:8px;">📌 공식: [자연 추이·상태 변화] <b>が</b> + 자동사 ↔ [인위적 목적어] <b>を</b> + 타동사</div></div></div>"	JLPT_N2::자타동사50쌍 조사_선택 쌍_002 정답_を
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#059669; background:#ecfdf5; border:1px solid #a7f3d0; border-radius:12px; padding:3px 10px; margin-bottom:12px;">자동사 ➔ 타동사 맞히기 #003</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">針金が曲がる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#059669;">曲がる</b>」의 뜻과 대응하는 <b style="color:#2563eb;">타동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#059669;">曲がる（まがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 구부러지다 / 돌다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 強い衝撃で車の骨組みが曲がってしまった。</div><div style="font-size:13px; color:#6b7280;">강한 충격으로 차량 뼈대가 구부러져 버렸다.</div></div><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#2563eb; letter-spacing:0.5px;">대응 타동사</div><div style="font-size:22px; font-weight:700; color:#2563eb;">曲げる（まげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 구부리다 / 굽히다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> ペンチを使って、固い針金をきれいに曲げた。</div><div style="font-size:13px; color:#6b7280;">펜치를 사용해서 단단한 철사를 반듯하게 구부렸다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#059669;">が 曲がる</span> ↔ <span style="color:#2563eb;">を 曲げる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_003 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#2563eb; background:#eff6ff; border:1px solid #bfdbfe; border-radius:12px; padding:3px 10px; margin-bottom:12px;">타동사 ➔ 자동사 맞히기 #003</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">腰を曲げる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#2563eb;">曲げる</b>」의 뜻과 대응하는 <b style="color:#059669;">자동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#2563eb;">曲げる（まげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 구부리다 / 굽히다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> ペンチを使って、固い針金をきれいに曲げた。</div><div style="font-size:13px; color:#6b7280;">펜치를 사용해서 단단한 철사를 반듯하게 구부렸다.</div></div><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#059669; letter-spacing:0.5px;">대응 자동사</div><div style="font-size:22px; font-weight:700; color:#059669;">曲がる（まがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 구부러지다 / 돌다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 強い衝撃で車の骨組みが曲がってしまった。</div><div style="font-size:13px; color:#6b7280;">강한 충격으로 차량 뼈대가 구부러져 버렸다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#2563eb;">を 曲げる</span> ↔ <span style="color:#059669;">が 曲がる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_003 패턴_〜がる_↔_〜げる
"<div style="text-align:center; padding:14px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#b45309; background:#fffbeb; border:1px solid #fde68a; border-radius:12px; padding:3px 10px; margin-bottom:14px;">조사 선택 퀴즈 (が / を) #003</span><div style="font-size:22px; font-weight:700; margin-bottom:16px; color:#111827; line-height:1.4;">強い衝撃で車の骨組み<span style="border-bottom:2px solid #2563eb; padding:0 8px; color:#2563eb; font-weight:700;">＿</span>曲がってしまった。</div><div style="display:inline-flex; gap:16px; font-size:16px; font-weight:700; margin-bottom:12px;"><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">① が</span><span style="padding:6px 18px; border:1px solid #cbd5e1; border-radius:8px; background:#f8fafc; color:#1e293b;">② を</span></div><div style="font-size:13px; color:#64748b;">빈칸에 들어갈 알맞은 조사를 선택하세요.</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="font-size:20px; font-weight:700; color:#059669; margin-bottom:12px; text-align:center;">정답: ① が</div><div style="background:#ecfdf5; border:1px solid #a7f3d0; border-radius:8px; padding:12px; margin-bottom:14px;"><div style="font-size:18px; font-weight:700; color:#111827; margin-bottom:4px;">強い衝撃で車の骨組み<span style="color:#059669; font-weight:700; text-decoration:underline;">が</span>曲がってしまった。</div><div style="font-size:14px; color:#4b5563;">강한 충격으로 차량 뼈대가 구부러져 버렸다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-size:14px; color:#1e293b; margin-bottom:8px;"><b>해설:</b> 「曲がる」는 물체가 휘거나 구부러지는 상태 변화를 나타내는 자동사이므로 주체에 が를 씁니다.</div><div style="font-size:13px; color:#475569; border-top:1px dashed #cbd5e1; padding-top:8px; margin-top:8px;"><b>반대 표현:</b><br>力持ちの男が太い鉄の棒を曲げた。（힘센 남자가 굵은 쇠막대를 구부렸다）</div><div style="font-size:12px; color:#64748b; margin-top:8px;">📌 공식: [자연 추이·상태 변화] <b>が</b> + 자동사 ↔ [인위적 목적어] <b>を</b> + 타동사</div></div></div>"	JLPT_N2::자타동사50쌍 조사_선택 쌍_003 정답_が
"<div style="text-align:center; padding:12px 8px; font-family:'Helvetica Neue', Arial, sans-serif;"><span style="display:inline-block; font-size:12px; font-weight:700; color:#059669; background:#ecfdf5; border:1px solid #a7f3d0; border-radius:12px; padding:3px 10px; margin-bottom:12px;">자동사 ➔ 타동사 맞히기 #004</span><div style="font-size:26px; font-weight:700; margin-bottom:12px; color:#111827;">噂が広がる</div><div style="font-size:15px; color:#4b5563;">「<b style="color:#059669;">広がる</b>」의 뜻과 대응하는 <b style="color:#2563eb;">타동사</b>는?</div></div>"	"<div style="padding:14px 10px; font-family:'Helvetica Neue', Arial, sans-serif; line-height:1.6;"><div style="border-left:4px solid #059669; padding-left:12px; margin-bottom:16px;"><div style="font-size:22px; font-weight:700; color:#059669;">広がる（ひろがる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 퍼지다 / 넓어지다 <span style="font-size:12px; color:#059669; background:#ecfdf5; border-radius:4px; padding:1px 6px; margin-left:6px;">자동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> SNSを通じて、根拠のない噂があっという間に広がった。</div><div style="font-size:13px; color:#6b7280;">SNS를 통해 근거 없는 소문이 눈식간에 퍼졌다.</div></div><div style="border-left:4px solid #2563eb; padding-left:12px; margin-bottom:16px;"><div style="font-size:12px; font-weight:700; color:#2563eb; letter-spacing:0.5px;">대응 타동사</div><div style="font-size:22px; font-weight:700; color:#2563eb;">広げる（ひろげる）</div><div style="font-size:15px; color:#374151; font-weight:600; margin:2px 0;">＝ 넓히다 / 펼치다 <span style="font-size:12px; color:#2563eb; background:#eff6ff; border-radius:4px; padding:1px 6px; margin-left:6px;">타동사</span></div><div style="font-size:14px; color:#1f2937; margin-top:6px;"><b>예문:</b> 留学を経験して、世界に対する視野を広げたい。</div><div style="font-size:13px; color:#6b7280;">유학을 경험하여 세계에 대한 시야를 넓히고 싶다.</div></div><div style="background:#f8fafc; border:1px solid #e2e8f0; border-radius:8px; padding:12px;"><div style="font-weight:700; font-size:14px; color:#0f172a; margin-bottom:4px;">📌 핵심: <span style="color:#059669;">が 広がる</span> ↔ <span style="color:#2563eb;">を 広げる</span></div><div style="font-size:12px; color:#64748b; margin-top:4px;">💡 <b>패턴:</b> 자동사 [〜がる] ↔ 타동사 [〜げる] (어형 형성 경향성)<br><span style="color:#94a3b8; font-size:11px;">(※ 언어 형성의 경향성이므로 참고용으로 활용하세요.)</span></div></div></div>"	JLPT_N2::자타동사50쌍 자타_대응 쌍_004 패턴_〜がる_↔_〜げる
